Resource,Zone,AnnualSum,Capacity,CapacityFactor
East_batteries_1,1,0.013142303047276238,3.6,0.0
East_conventional_hydroelectric_1,1,1.0233928564660277,6.6,0.1550595237069743
East_landfill_gas_1,1,2.399999996421092,2.399999999,0.9999999989254575
East_natural_gas_internal_combustion_engine_1,1,1.1143912228582479e-8,3.190004561,0.0
East_petroleum_liquids_with_gt_1,1,1.6248989405839395e-9,81.38578428,0.0
East_petroleum_liquids_with_ic_1,1,1.6641537799265662e-9,3.9876553020000003,0.0
East_solar_photovoltaic_1,1,9.780549995930526,49.19999998,0.19879166666476386
North_conventional_hydroelectric_1,2,5.73720238028901,37.0,0.15505952379159527
North_landfill_gas_1,2,1.1999999985730805,2.4,0.4999999994054514
North_natural_gas_internal_combustion_engine_1,2,1.1691030083648638e-8,15.45315008,0.0
North_onshore_wind_turbine_1,2,0.35426069278021693,0.599999964,0.0
North_petroleum_liquids_with_cc_1,2,1.8994430783137235e-9,411.0342831,0.0
North_petroleum_liquids_with_gt_1,2,1.3171611325973578e-9,95.03220981,0.0
North_petroleum_liquids_with_st_1,2,1.6549857542793132e-9,203.0095722,0.0
North_solar_photovoltaic_1,2,3.0381809502684405,14.89999999,0.20390476189983192
South_batteries_1,3,0.05695230771168841,5.1,0.0
South_conventional_hydroelectric_1,3,7.163749999323171,46.2,0.1550595237948742
South_natural_gas_fired_combined_cycle_1,3,8.303714584385763e-9,441.8841542,0.0
South_natural_gas_steam_turbine_1,3,9.048384425403848e-9,596.4329185,0.0
South_onshore_wind_turbine_1,3,42.366517840116444,74.99999997,0.564886904760842
South_petroleum_liquids_with_gt_1,3,1.441614760195567e-9,78.10429172,0.0
South_petroleum_liquids_with_st_1,3,1.599806762713424e-9,402.7897111,0.0
South_solar_photovoltaic_1,3,9.103360705939636,43.79999996,0.20783928571354404
West_batteries_1,4,0.18399992903425003,21.8,0.0
West_petroleum_liquids_with_gt_1,4,1.6368780538952938e-9,218.5785422,0.0
West_petroleum_liquids_with_ic_1,4,1.6246165669545432e-9,3.58836252,0.0
West_solar_photovoltaic_1,4,9.290892850945045,44.99999997,0.20646428571419995
East_battery_moderate_0,1,99.49423939688914,1833.804519,0.0
East_naturalgas_ctavgcf_moderate_0,1,1.4045048443310457e-8,114.4410462,0.0
East_naturalgas_ccavgcf_moderate_0,1,216.33576526942483,219.4591126,0.9857679761228806
East_microgrid_solar_moderate_0,1,0.0,0.0,0.0
East_microgrid_diesel_moderate_0,1,1.7817806050975912e-10,2.023730769,0.0
East_utilitypv_class1_moderate_1,1,12.377019067876587,60.7000001,0.20390476190257234
East_landbasedwind_class3_moderate_1,1,99.78343458240641,169.0000001,0.5904345238068829
North_battery_moderate_0,2,114.69280680664305,1828.467727,0.0
North_naturalgas_ctavgcf_moderate_0,2,1.4933180242199926e-8,115.1037863,0.0
North_naturalgas_ccavgcf_moderate_0,2,221.7358397785866,221.7358398,0.9999999999034308
North_microgrid_solar_moderate_0,2,0.0,0.0,0.0
North_microgrid_diesel_moderate_0,2,1.7913751021606527e-10,2.026669742,0.0
North_utilitypv_class1_moderate_1,2,25.605800020711886,123.2000001,0.20783928571370144
North_landbasedwind_class3_moderate_1,2,71.96659172289098,127.4000001,0.5648869047598309
South_battery_moderate_0,3,99.92449366018911,1826.109731,0.0
South_naturalgas_ctavgcf_moderate_0,3,1.4045041115216999e-8,114.3976308,0.0
South_naturalgas_ccavgcf_moderate_0,3,214.78258645356593,219.2000893,0.9798471667573653
South_microgrid_solar_moderate_0,3,0.0,0.0,0.0
South_microgrid_diesel_moderate_0,3,1.781780641812247e-10,2.029538365,0.0
South_utilitypv_class1_moderate_1,3,37.015008353177556,186.2000001,0.19879166666647946
South_landbasedwind_class3_moderate_1,3,104.03493755943651,173.5000001,0.5996249999969698
West_battery_moderate_0,4,98.86562360294025,1823.51793,0.0
West_naturalgas_ctavgcf_moderate_0,4,1.4045042892024255e-8,114.9632226,0.0
West_naturalgas_ccavgcf_moderate_0,4,216.88434410256096,221.0801532,0.9810213217391668
West_microgrid_solar_moderate_0,4,0.0,0.0,0.0
West_microgrid_diesel_moderate_0,4,1.7817806137544462e-10,2.028682679,0.0
West_utilitypv_class1_moderate_1,4,38.44365002064643,186.2000001,0.2064642857142862
West_landbasedwind_class3_moderate_1,4,89.79200005190215,170.8000001,0.5257142857103685
North_to_south_underground_line,2,0.0,520.6430643,0.0
North_to_east_underground_line,1,0.0,412.7961094,0.0
South_to_west_underground_line,4,0.0,1.928353272,0.0
